fiscal.rank,state,state.abb,Prepared.for.all.most.bills,Prepared.by.non.partisan.agency,budget.impacts.for...1.year,budget.impacts...4.years,revisions.during.bill.process,published.on.the.web,total,mercatus.fiscal.idx
1,Florida,FL,x,x,x,,x,x,5,3.52
2,North Dakota,ND,x,,x,x,x,x,5,3.48
3,South Dakota,SD,,x,,,x,x,3,3.02
4,Utah,UT,x,x,x,,x,x,5,2.86
5,Wyoming,WY,x,x,x,,,x,4,2.25
6,Nebraska,NE,x,x,,,x,x,4,2.02
7,Oklahoma,OK,,x,,,on request,x,3,1.8
8,Tennessee,TN,x,x,,,,x,3,1.72
9,Idaho,ID,x,,,,x,x,3,1.36
10,Montana,MT,x,,x,x,on request,x,5,1.32
11,Missouri,MO,x,x,x,,x,x,5,0.86
12,Alabama,AL,x,x,,,,x,3,0.56
13,Ohio,OH,x,x,x,,x,x,5,0.4
14,Nevada,NV,x,x,x,,,x,4,0.37
15,North Carolina,NC,x,x,x,x,,x,5,0.36
16,Indiana,IN,x,x,,,x,x,4,0.07
17,Alaska,AK,x,,,,,x,2,0.04
18,Virginia,VA,x,,x,x,,x,4,0.03
19,South Carolina,SC,x,x,x,,x,x,5,-0.02
20,Arkansas,AR,,x,,,,x,2,-0.03
21,Georgia,GA,x,x,x,x,on request,,5,-0.1
22,Oregon,OR,x,x,x,x,x,x,6,-0.1
23,Texas,TX,x,x,x,x,x,x,6,-0.3
24,Minnesota,MN,x,,x,x,x,x,5,-0.32
25,New Hampshire,NH,x,x,,,,x,3,-0.35
26,Washington,WA,x,,x,x,x,x,5,-0.5
27,Hawaii,HI,,,,,,,0,-0.51
28,Iowa,IA,x,x,x,x,on request,x,6,-0.55
29,Wisconsin,WI,x,,,,x,x,3,-0.56
30,Colorado,CO,x,x,x,,x,x,5,-0.6
31,Delaware,DE,,x,x,,,x,3,-0.62
32,Kansas,KS,x,,,,,x,2,-0.67
33,Arizona,AZ,,x,,,x,x,3,-0.72
34,Mississippi,MS,,x,,,,,1,-0.74
35,Maine,ME,x,x,,,,x,3,-0.84
36,Michigan,MI,,,,,x,x,2,-0.87
37,Connecticut,CT,x,x,x,,,x,4,-0.89
38,Rhode Island,RI,x,,x,,x,x,4,-0.92
39,New York,NY,,,,,,,0,-0.93
40,Vermont,VT,x,x,,,x,x,4,-0.96
41,New Mexico,NM,x,x,x,,,x,4,-0.97
42,West Virginia,WV,x,,x,,,x,3,-1.04
43,California,CA,,,,,,x,1,-1.06
44,Louisiana,LA,x,x,x,x,x,x,6,-1.08
45,Maryland,MD,x,x,x,x,x,x,6,-1.09
46,Pennsylvania,PA,,,,,,x,1,-1.09
47,Kentucky,KY,,x,x,,,x,3,-1.38
48,Massachusetts,MA,x,,,,,,1,-2
49,Illinois,IL,,,,,,x,1,-2.05
50,New Jersey,NJ,x,x,x,,x,x,5,-2.18