,Prepared for all/most bills,Prepared by non-partisan agency,budget impacts for > 1 year,budget impacts > 4 years,revisions during bill process,published on the web
Alabama ,x ,x ,,,,x 
Alaska ,x ,,,,,x 
Arizona ,,x ,,,x ,x 
Arkansas ,,x ,,,,x 
California ,,,,,,x 
Colorado ,x ,x ,x ,,x ,x 
Connecticut ,x ,x ,x ,,,x 
Delaware ,,x ,x ,,,x 
Florida ,x ,x ,x ,,x ,x 
Georgia ,x ,x ,x ,x ,on request ,
Hawaii ,,,,,,
Idaho ,x ,,,,x ,x 
Illinois ,,,,,,x 
Indiana ,x ,x ,,,x ,x 
Iowa ,x ,x ,x ,x ,on request ,x 
Kansas ,x ,,,,,x 
Kentucky ,,x ,x ,,,x 
Louisiana ,x ,x ,x ,x ,x ,x 
Maine ,x ,x ,,,,x 
Maryland ,x ,x ,x ,x ,x ,x 
Massachusetts ,x ,,,,,
Michigan ,,,,,x ,x 
Minnesota ,x ,,x ,x ,x ,x 
Mississippi ,,x ,,,,
Missouri ,x ,x ,x ,,x ,x 
Montana ,x ,,x ,x ,on request ,x 
Nebraska ,x ,x ,,,x ,x 
Nevada ,x ,x ,x ,,,x 
New Hampshire ,x ,x ,,,,x 
New Jersey ,x ,x ,x ,,x ,x 
New Mexico ,x ,x ,x ,,,x 
New York ,,,,,,
North Carolina ,x ,x ,x ,x ,,x 
North Dakota ,x ,,x ,x ,x ,x 
Ohio ,x ,x ,x ,,x ,x 
Oklahoma ,,x ,,,on request ,x 
Oregon ,x ,x ,x ,x ,x ,x 
Pennsylvania ,,,,,,x 
Rhode Island ,x ,,x ,,x ,x 
South Carolina ,x ,x ,x ,,x ,x 
South Dakota ,,x ,,,x ,x 
Tennessee ,x ,x ,,,,x 
Texas ,x ,x ,x ,x ,x ,x 
Utah ,x ,x ,x ,,x ,x 
Vermont ,x ,x ,,,x ,x 
Virginia ,x ,,x ,x ,,x 
Washington ,x ,,x ,x ,x ,x 
West Virginia ,x ,,x ,,,x 
Wisconsin ,x ,,,,x ,x 
Wyoming ,x ,x ,x ,,,x 